"party","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Other","2011","16-34 y.","Other degree","","","",""
"Other","2011","16-34 y.","no degree/no degree yet","1","","",""
"Other","2011","35-65 y.","lower secondary degree","20","","",""
"Other","2011","35-65 y.","secondary school degree","11","","",""
"Other","2011","35-65 y.","college entrance qualification","19","","",""
"Other","2011","35-65 y.","Other degree","2","","",""
"Other","2011","35-65 y.","no degree/no degree yet","","","",""
"Other","2011","66 and older","lower secondary degree","9","","",""
"Other","2011","66 and older","secondary school degree","2","","",""
"Other","2011","66 and older","college entrance qualification","2","","",""
"Other","2011","66 and older","Other degree","1","","",""
"Other","2011","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","2012","16-34 y.","lower secondary degree","32","0.392455015663382","0.287405705054755","0.497504326272008"
"CDU/CSU","2012","16-34 y.","secondary school degree","103","0.366999801132232","0.308413476366469","0.425586125897995"
"CDU/CSU","2012","16-34 y.","college entrance qualification","220","0.272740629589984","0.240930152322198","0.30455110685777"
"CDU/CSU","2012","16-34 y.","Other degree","6","","",""
"CDU/CSU","2012","16-34 y.","no degree/no degree yet","21","","",""
"CDU/CSU","2012","35-65 y.","lower secondary degree","427","0.381001015409768","0.352171132608173","0.409830898211364"
"CDU/CSU","2012","35-65 y.","secondary school degree","557","0.373504072234743","0.348493334409142","0.398514810060345"
"CDU/CSU","2012","35-65 y.","college entrance qualification","543","0.270945691244414","0.250582604507714","0.291308777981115"
"CDU/CSU","2012","35-65 y.","Other degree","95","0.379688711614836","0.316416566813525","0.442960856416146"
"CDU/CSU","2012","35-65 y.","no degree/no degree yet","5","","",""
"CDU/CSU","2012","66 and older","lower secondary degree","711","0.488016374249199","0.462754276824634","0.513278471673764"
"CDU/CSU","2012","66 and older","secondary school degree","304","0.512956596965922","0.47312804235184","0.552785151580004"
"CDU/CSU","2012","66 and older","college entrance qualification","338","0.546806274930458","0.508654222548252","0.584958327312665"
"CDU/CSU","2012","66 and older","Other degree","74","0.464825001449314","0.379739850562251","0.549910152336378"
"CDU/CSU","2012","66 and older","no degree/no degree yet","16","","",""
"SPD","2012","16-34 y.","lower secondary degree","22","","",""
"SPD","2012","16-34 y.","secondary school degree","45","0.205499044106851","0.156384113803442","0.254613974410261"
"SPD","2012","16-34 y.","college entrance qualification","204","0.275338172429068","0.243433704366334","0.307242640491803"
"SPD","2012","16-34 y.","Other degree","6","","",""
"SPD","2012","16-34 y.","no degree/no degree yet","17","","",""
"SPD","2012","35-65 y.","lower secondary degree","471","0.430545532813845","0.401150504157698","0.459940561469991"
"SPD","2012","35-65 y.","secondary school degree","437","0.31128821495399","0.287348454317229","0.335227975590751"
"SPD","2012","35-65 y.","college entrance qualification","497","0.274499629065582","0.254053445925674","0.29494581220549"
"SPD","2012","35-65 y.","Other degree","79","0.359967194875829","0.297388507323501","0.422545882428156"
"SPD","2012","35-65 y.","no degree/no degree yet","8","","",""
"SPD","2012","66 and older","lower secondary degree","618","0.40667011339851","0.381844875804727","0.431495350992294"
"SPD","2012","66 and older","secondary school degree","197","0.322488694415934","0.285242155387946","0.359735233443922"
"SPD","2012","66 and older","college entrance qualification","167","0.262123656322587","0.228417896716349","0.295829415928824"
"SPD","2012","66 and older","Other degree","43","0.41691526740312","0.332804642407161","0.501025892399078"
"SPD","2012","66 and older","no degree/no degree yet","10","","",""
"FDP","2012","16-34 y.","lower secondary degree","","","",""
"FDP","2012","16-34 y.","secondary school degree","7","","",""
"FDP","2012","16-34 y.","college entrance qualification","24","","",""
"FDP","2012","16-34 y.","Other degree","","","",""
"FDP","2012","16-34 y.","no degree/no degree yet","","","",""
"FDP","2012","35-65 y.","lower secondary degree","18","","",""
"FDP","2012","35-65 y.","secondary school degree","27","","",""
"FDP","2012","35-65 y.","college entrance qualification","63","0.0248813063236032","0.0177447634979801","0.0320178491492264"
"FDP","2012","35-65 y.","Other degree","14","","",""
"FDP","2012","35-65 y.","no degree/no degree yet","","","",""
"FDP","2012","66 and older","lower secondary degree","22","","",""
"FDP","2012","66 and older","secondary school degree","19","","",""
"FDP","2012","66 and older","college entrance qualification","43","0.0525108336903435","0.0354157669746593","0.0696059004060278"
"FDP","2012","66 and older","Other degree","2","","",""
"FDP","2012","66 and older","no degree/no degree yet","","","",""
"Grüne","2012","16-34 y.","lower secondary degree","8","","",""
"Grüne","2012","16-34 y.","secondary school degree","32","0.104200349278617","0.0670638083743524","0.141336890182881"
"Grüne","2012","16-34 y.","college entrance qualification","226","0.317851243844946","0.28459278609834","0.351109701591552"
"Grüne","2012","16-34 y.","Other degree","3","","",""
"Grüne","2012","16-34 y.","no degree/no degree yet","34","0.363355645351363","0.262866036172521","0.463845254530206"
"Grüne","2012","35-65 y.","lower secondary degree","77","0.0712467482541971","0.0559757460604039","0.0865177504479903"
"Grüne","2012","35-65 y.","secondary school degree","209","0.132303992883055","0.114785772641807","0.149822213124302"
"Grüne","2012","35-65 y.","college entrance qualification","576","0.343955314517474","0.322191236747925","0.365719392287023"
"Grüne","2012","35-65 y.","Other degree","24","","",""
"Grüne","2012","35-65 y.","no degree/no degree yet","3","","",""
"Grüne","2012","66 and older","lower secondary degree","44","0.0304551453031148","0.0217707723958756","0.0391395182103539"
"Grüne","2012","66 and older","secondary school degree","41","0.0741445081362677","0.0532668634826831","0.0950221527898524"
"Grüne","2012","66 and older","college entrance qualification","63","0.0780266832558105","0.0574706190214342","0.0985827474901867"
"Grüne","2012","66 and older","Other degree","9","","",""
"Grüne","2012","66 and older","no degree/no degree yet","4","","",""
"PDS/Linke","2012","16-34 y.","lower secondary degree","2","","",""
"PDS/Linke","2012","16-34 y.","secondary school degree","20","","",""
"PDS/Linke","2012","16-34 y.","college entrance qualification","32","0.0250974941552574","0.0139250967020149","0.0362698916085"
"PDS/Linke","2012","16-34 y.","Other degree","1","","",""
"PDS/Linke","2012","16-34 y.","no degree/no degree yet","5","","",""
"PDS/Linke","2012","35-65 y.","lower secondary degree","47","0.0493014894773813","0.036449029240885","0.0621539497138776"
"PDS/Linke","2012","35-65 y.","secondary school degree","140","0.113214901192318","0.0968323815899246","0.129597420794712"
"PDS/Linke","2012","35-65 y.","college entrance qualification","107","0.0502908427650449","0.0402778865819349","0.0603037989481549"
"PDS/Linke","2012","35-65 y.","Other degree","9","","",""
"PDS/Linke","2012","35-65 y.","no degree/no degree yet","4","","",""
"PDS/Linke","2012","66 and older","lower secondary degree","94","0.048251391483571","0.0374210981556313","0.0590816848115107"
"PDS/Linke","2012","66 and older","secondary school degree","37","0.044612753496753","0.028161854428471","0.061063652565035"
"PDS/Linke","2012","66 and older","college entrance qualification","40","0.0549689254963355","0.0375010179228685","0.0724368330698024"
"PDS/Linke","2012","66 and older","Other degree","1","","",""
"PDS/Linke","2012","66 and older","no degree/no degree yet","","","",""
"NPD Combination","2012","16-34 y.","lower secondary degree","10","","",""
"NPD Combination","2012","16-34 y.","secondary school degree","17","","",""
"NPD Combination","2012","16-34 y.","college entrance qualification","3","","",""
"NPD Combination","2012","16-34 y.","Other degree","","","",""
"NPD Combination","2012","16-34 y.","no degree/no degree yet","","","",""
"NPD Combination","2012","35-65 y.","lower secondary degree","15","","",""
"NPD Combination","2012","35-65 y.","secondary school degree","30","0.0280455977669254","0.0195091929333708","0.0365820026004801"
"NPD Combination","2012","35-65 y.","college entrance qualification","5","","",""
"NPD Combination","2012","35-65 y.","Other degree","2","","",""
"NPD Combination","2012","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","2012","66 and older","lower secondary degree","","","",""
"NPD Combination","2012","66 and older","secondary school degree","2","","",""
"NPD Combination","2012","66 and older","college entrance qualification","1","","",""
"NPD Combination","2012","66 and older","Other degree","","","",""
"NPD Combination","2012","66 and older","no degree/no degree yet","","","",""
"AfD","2012","16-34 y.","lower secondary degree","","","",""
"AfD","2012","16-34 y.","secondary school degree","","","",""
"AfD","2012","16-34 y.","college entrance qualification","","","",""
"AfD","2012","16-34 y.","Other degree","","","",""
"AfD","2012","16-34 y.","no degree/no degree yet","","","",""
"AfD","2012","35-65 y.","lower secondary degree","","","",""
"AfD","2012","35-65 y.","secondary school degree","","","",""
"AfD","2012","35-65 y.","college entrance qualification","","","",""
"AfD","2012","35-65 y.","Other degree","","","",""
"AfD","2012","35-65 y.","no degree/no degree yet","","","",""
"AfD","2012","66 and older","lower secondary degree","","","",""
"AfD","2012","66 and older","secondary school degree","","","",""
"AfD","2012","66 and older","college entrance qualification","","","",""
"AfD","2012","66 and older","Other degree","","","",""
"AfD","2012","66 and older","no degree/no degree yet","","","",""
"Other","2012","16-34 y.","lower secondary degree","9","","",""
"Other","2012","16-34 y.","secondary school degree","36","0.108191094465126","0.0704344772874662","0.145947711642786"
"Other","2012","16-34 y.","college entrance qualification","44","0.0647634318678658","0.0471851562429685","0.0823417074927631"
"Other","2012","16-34 y.","Other degree","2","","",""
"Other","2012","16-34 y.","no degree/no degree yet","11","","",""
"Other","2012","35-65 y.","lower secondary degree","35","0.039375365488302","0.0278295662694987","0.0509211647071053"
"Other","2012","35-65 y.","secondary school degree","37","0.0248064097404914","0.0167647242766467","0.032848095204336"
"Other","2012","35-65 y.","college entrance qualification","39","0.0312305284316259","0.0232611869807386","0.0391998698825132"
"Other","2012","35-65 y.","Other degree","3","","",""
"Other","2012","35-65 y.","no degree/no degree yet","3","","",""
"Other","2012","66 and older","lower secondary degree","15","","",""
"Other","2012","66 and older","secondary school degree","5","","",""
"Other","2012","66 and older","college entrance qualification","2","","",""
"Other","2012","66 and older","Other degree","3","","",""
"Other","2012","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","2013","16-34 y.","lower secondary degree","56","0.37488413864107","0.298427267241296","0.451341010040843"
"CDU/CSU","2013","16-34 y.","secondary school degree","119","0.368399912199634","0.315215373148574","0.421584451250694"
"CDU/CSU","2013","16-34 y.","college entrance qualification","275","0.305611322226001","0.274787216723262","0.33643542772874"
"CDU/CSU","2013","16-34 y.","Other degree","53","0.341669176855165","0.257164566965402","0.426173786744927"
"CDU/CSU","2013","16-34 y.","no degree/no degree yet","22","","",""
"CDU/CSU","2013","35-65 y.","lower secondary degree","419","0.413310978475514","0.383031827847196","0.443590129103833"
"CDU/CSU","2013","35-65 y.","secondary school degree","615","0.440926146357635","0.415029217722351","0.46682307499292"
"CDU/CSU","2013","35-65 y.","college entrance qualification","586","0.311754942069778","0.290737953138909","0.332771931000646"
"CDU/CSU","2013","35-65 y.","Other degree","291","0.384034292446337","0.346787342823284","0.42128124206939"
"CDU/CSU","2013","35-65 y.","no degree/no degree yet","19","","",""
"CDU/CSU","2013","66 and older","lower secondary degree","700","0.492046974502461","0.46627016119706","0.517823787807863"
"CDU/CSU","2013","66 and older","secondary school degree","313","0.497820125445901","0.458808029082854","0.536832221808948"
"CDU/CSU","2013","66 and older","college entrance qualification","344","0.514638024523136","0.47707353900698","0.552202510039293"
"CDU/CSU","2013","66 and older","Other degree","78","0.576102860169727","0.48805158199608","0.664154138343375"
"CDU/CSU","2013","66 and older","no degree/no degree yet","14","","",""
"SPD","2013","16-34 y.","lower secondary degree","63","0.374158963081701","0.297731784784584","0.450586141378817"
"SPD","2013","16-34 y.","secondary school degree","97","0.287442580339917","0.23754378804996","0.337341372629874"
"SPD","2013","16-34 y.","college entrance qualification","260","0.299350530789233","0.26870657253493","0.329994489043535"
"SPD","2013","16-34 y.","Other degree","33","0.302355032034572","0.220521510726436","0.384188553342708"
"SPD","2013","16-34 y.","no degree/no degree yet","45","0.269076736206654","0.193988887839138","0.34416458457417"
"SPD","2013","35-65 y.","lower secondary degree","430","0.424841839195391","0.394446393191483","0.4552372851993"
"SPD","2013","35-65 y.","secondary school degree","398","0.277701210328581","0.254340928794414","0.301061491862748"
"SPD","2013","35-65 y.","college entrance qualification","491","0.261151491334185","0.241221081606805","0.281081901061565"
"SPD","2013","35-65 y.","Other degree","217","0.364549509405585","0.327690253833176","0.401408764977994"
"SPD","2013","35-65 y.","no degree/no degree yet","41","0.500215825792562","0.38925472575761","0.611176925827515"
"SPD","2013","66 and older","lower secondary degree","573","0.400691694363533","0.375425229285594","0.425958159441471"
"SPD","2013","66 and older","secondary school degree","207","0.338254747198182","0.301339925182883","0.375169569213481"
"SPD","2013","66 and older","college entrance qualification","171","0.258995889898434","0.226069025192895","0.291922754603974"
"SPD","2013","66 and older","Other degree","29","","",""
"SPD","2013","66 and older","no degree/no degree yet","11","","",""
"FDP","2013","16-34 y.","lower secondary degree","1","","",""
"FDP","2013","16-34 y.","secondary school degree","10","","",""
"FDP","2013","16-34 y.","college entrance qualification","26","","",""
"FDP","2013","16-34 y.","Other degree","2","","",""
"FDP","2013","16-34 y.","no degree/no degree yet","5","","",""
"FDP","2013","35-65 y.","lower secondary degree","21","","",""
"FDP","2013","35-65 y.","secondary school degree","32","0.023797908407078","0.0158478557735732","0.0317479610405829"
"FDP","2013","35-65 y.","college entrance qualification","69","0.0311300446091135","0.0232502501881484","0.0390098390300785"
"FDP","2013","35-65 y.","Other degree","22","","",""
"FDP","2013","35-65 y.","no degree/no degree yet","","","",""
"FDP","2013","66 and older","lower secondary degree","20","","",""
"FDP","2013","66 and older","secondary school degree","25","","",""
"FDP","2013","66 and older","college entrance qualification","42","0.0531384036318883","0.0362790415652331","0.0699977656985435"
"FDP","2013","66 and older","Other degree","2","","",""
"FDP","2013","66 and older","no degree/no degree yet","","","",""
"Grüne","2013","16-34 y.","lower secondary degree","9","","",""
"Grüne","2013","16-34 y.","secondary school degree","37","0.140319031514499","0.102024964301647","0.178613098727351"
"Grüne","2013","16-34 y.","college entrance qualification","242","0.304461882190453","0.273670344404121","0.335253419976786"
"Grüne","2013","16-34 y.","Other degree","24","","",""
"Grüne","2013","16-34 y.","no degree/no degree yet","38","0.287915846860115","0.211251376995778","0.364580316724451"
"Grüne","2013","35-65 y.","lower secondary degree","68","0.0673761276277659","0.0519624055380784","0.0827898497174534"
"Grüne","2013","35-65 y.","secondary school degree","213","0.131513348450853","0.113885584177238","0.149141112724469"
"Grüne","2013","35-65 y.","college entrance qualification","585","0.330776839680253","0.309429424367852","0.352124254992655"
"Grüne","2013","35-65 y.","Other degree","72","0.122042216821593","0.0969742390161235","0.147110194627062"
"Grüne","2013","35-65 y.","no degree/no degree yet","8","","",""
"Grüne","2013","66 and older","lower secondary degree","58","0.040778378145587","0.0305809977144111","0.0509757585767628"
"Grüne","2013","66 and older","secondary school degree","40","0.0686312825941449","0.0489045438741556","0.0883580213141342"
"Grüne","2013","66 and older","college entrance qualification","73","0.103689402071552","0.080775973115717","0.126602831027387"
"Grüne","2013","66 and older","Other degree","11","","",""
"Grüne","2013","66 and older","no degree/no degree yet","4","","",""
"PDS/Linke","2013","16-34 y.","lower secondary degree","8","","",""
"PDS/Linke","2013","16-34 y.","secondary school degree","24","","",""
"PDS/Linke","2013","16-34 y.","college entrance qualification","35","0.0346782014450228","0.0224357388343122","0.0469206640557335"
"PDS/Linke","2013","16-34 y.","Other degree","7","","",""
"PDS/Linke","2013","16-34 y.","no degree/no degree yet","9","","",""
"PDS/Linke","2013","35-65 y.","lower secondary degree","46","0.0409247472020411","0.0287426914648708","0.0531068029392115"
"PDS/Linke","2013","35-65 y.","secondary school degree","110","0.0913352789692903","0.0763089858678139","0.106361572070767"
"PDS/Linke","2013","35-65 y.","college entrance qualification","108","0.045412855981847","0.035965952689611","0.0548597592740831"
"PDS/Linke","2013","35-65 y.","Other degree","30","0.0451454130447286","0.0292452024755204","0.0610456236139368"
"PDS/Linke","2013","35-65 y.","no degree/no degree yet","6","","",""
"PDS/Linke","2013","66 and older","lower secondary degree","82","0.0445760596599302","0.0339355344467097","0.0552165848731506"
"PDS/Linke","2013","66 and older","secondary school degree","41","0.0445207283136391","0.028428166852003","0.0606132897752751"
"PDS/Linke","2013","66 and older","college entrance qualification","42","0.0490972878015449","0.0328571231283878","0.0653374524747021"
"PDS/Linke","2013","66 and older","Other degree","1","","",""
"PDS/Linke","2013","66 and older","no degree/no degree yet","","","",""
"NPD Combination","2013","16-34 y.","lower secondary degree","5","","",""
"NPD Combination","2013","16-34 y.","secondary school degree","12","","",""
"NPD Combination","2013","16-34 y.","college entrance qualification","","","",""
"NPD Combination","2013","16-34 y.","Other degree","","","",""
"NPD Combination","2013","16-34 y.","no degree/no degree yet","2","","",""
"NPD Combination","2013","35-65 y.","lower secondary degree","11","","",""
"NPD Combination","2013","35-65 y.","secondary school degree","19","","",""
"NPD Combination","2013","35-65 y.","college entrance qualification","2","","",""
"NPD Combination","2013","35-65 y.","Other degree","2","","",""
"NPD Combination","2013","35-65 y.","no degree/no degree yet","2","","",""
"NPD Combination","2013","66 and older","lower secondary degree","2","","",""
"NPD Combination","2013","66 and older","secondary school degree","1","","",""
"NPD Combination","2013","66 and older","college entrance qualification","1","","",""
"NPD Combination","2013","66 and older","Other degree","","","",""
"NPD Combination","2013","66 and older","no degree/no degree yet","","","",""
"AfD","2013","16-34 y.","lower secondary degree","","","",""
"AfD","2013","16-34 y.","secondary school degree","","","",""
"AfD","2013","16-34 y.","college entrance qualification","","","",""
"AfD","2013","16-34 y.","Other degree","","","",""
"AfD","2013","16-34 y.","no degree/no degree yet","","","",""
"AfD","2013","35-65 y.","lower secondary degree","","","",""
"AfD","2013","35-65 y.","secondary school degree","","","",""
"AfD","2013","35-65 y.","college entrance qualification","","","",""
"AfD","2013","35-65 y.","Other degree","","","",""
"AfD","2013","35-65 y.","no degree/no degree yet","","","",""
"AfD","2013","66 and older","lower secondary degree","","","",""
"AfD","2013","66 and older","secondary school degree","","","",""
"AfD","2013","66 and older","college entrance qualification","","","",""
"AfD","2013","66 and older","Other degree","","","",""
"AfD","2013","66 and older","no degree/no degree yet","","","",""
"Other","2013","16-34 y.","lower secondary degree","12","","",""
"Other","2013","16-34 y.","secondary school degree","17","","",""
"Other","2013","16-34 y.","college entrance qualification","20","","",""
"Other","2013","16-34 y.","Other degree","2","","",""
"Other","2013","16-34 y.","no degree/no degree yet","13","","",""
"Other","2013","35-65 y.","lower secondary degree","21","","",""
"Other","2013","35-65 y.","secondary school degree","25","","",""
"Other","2013","35-65 y.","college entrance qualification","25","","",""
"Other","2013","35-65 y.","Other degree","21","","",""
"Other","2013","35-65 y.","no degree/no degree yet","2","","",""
"Other","2013","66 and older","lower secondary degree","10","","",""
"Other","2013","66 and older","secondary school degree","4","","",""
"Other","2013","66 and older","college entrance qualification","7","","",""
"Other","2013","66 and older","Other degree","","","",""
"Other","2013","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","2014","16-34 y.","lower secondary degree","65","0.314221694319004","0.248900039220153","0.379543349417854"
"CDU/CSU","2014","16-34 y.","secondary school degree","172","0.403978399752008","0.356768387351411","0.451188412152605"
"CDU/CSU","2014","16-34 y.","college entrance qualification","323","0.312183176062371","0.283318170981743","0.341048181142999"
"CDU/CSU","2014","16-34 y.","Other degree","33","0.29659360066528","0.206162233034561","0.387024968296"
"CDU/CSU","2014","16-34 y.","no degree/no degree yet","41","0.239869218329262","0.17391135585634","0.305827080802185"
"CDU/CSU","2014","35-65 y.","lower secondary degree","488","0.400893201881176","0.373036888895795","0.428749514866557"
"CDU/CSU","2014","35-65 y.","secondary school degree","874","0.406717307557716","0.385556117647893","0.427878497467539"
"CDU/CSU","2014","35-65 y.","college entrance qualification","893","0.314342109972526","0.297000077054006","0.331684142891047"
"CDU/CSU","2014","35-65 y.","Other degree","276","0.390772073035164","0.353117312098926","0.428426833971402"
"CDU/CSU","2014","35-65 y.","no degree/no degree yet","17","","",""
"CDU/CSU","2014","66 and older","lower secondary degree","762","0.508321218284763","0.483408977849079","0.533233458720447"
"CDU/CSU","2014","66 and older","secondary school degree","330","0.512614380491674","0.474624404720917","0.55060435626243"
"CDU/CSU","2014","66 and older","college entrance qualification","335","0.505434191427108","0.468129118041364","0.542739264812853"
"CDU/CSU","2014","66 and older","Other degree","84","0.582035746553304","0.498835309817767","0.665236183288841"
"CDU/CSU","2014","66 and older","no degree/no degree yet","10","","",""
"SPD","2014","16-34 y.","lower secondary degree","62","0.396199265302318","0.327373527201128","0.465025003403508"
"SPD","2014","16-34 y.","secondary school degree","100","0.237544529240646","0.196599253368379","0.278489805112913"
"SPD","2014","16-34 y.","college entrance qualification","269","0.289402251455543","0.26115388360211","0.317650619308977"
"SPD","2014","16-34 y.","Other degree","31","0.248242650003051","0.162713906084253","0.33377139392185"
"SPD","2014","16-34 y.","no degree/no degree yet","44","0.223861938927491","0.159475445399755","0.288248432455226"
"SPD","2014","35-65 y.","lower secondary degree","481","0.419295430731689","0.3912478859432","0.447342975520178"
"SPD","2014","35-65 y.","secondary school degree","572","0.289831810534663","0.270287671174467","0.30937594989486"
"SPD","2014","35-65 y.","college entrance qualification","675","0.247028518238406","0.230918063617201","0.263138972859611"
"SPD","2014","35-65 y.","Other degree","196","0.342865634074655","0.306233914800749","0.379497353348561"
"SPD","2014","35-65 y.","no degree/no degree yet","36","0.516426687986124","0.396767461586529","0.636085914385718"
"SPD","2014","66 and older","lower secondary degree","587","0.374283723594704","0.350168453470366","0.398398993719042"
"SPD","2014","66 and older","secondary school degree","213","0.334747822565422","0.298881297576226","0.370614347554619"
"SPD","2014","66 and older","college entrance qualification","179","0.269608546383798","0.236497857655701","0.302719235111894"
"SPD","2014","66 and older","Other degree","38","0.315148391055712","0.236780710332807","0.393516071778618"
"SPD","2014","66 and older","no degree/no degree yet","12","","",""
"FDP","2014","16-34 y.","lower secondary degree","3","","",""
"FDP","2014","16-34 y.","secondary school degree","9","","",""
"FDP","2014","16-34 y.","college entrance qualification","37","0.0367025581317922","0.0249898083712928","0.0484153078922915"
"FDP","2014","16-34 y.","Other degree","","","",""
"FDP","2014","16-34 y.","no degree/no degree yet","7","","",""
"FDP","2014","35-65 y.","lower secondary degree","19","","",""
"FDP","2014","35-65 y.","secondary school degree","41","0.021074145665038","0.0148866799362849","0.0272616113937912"
"FDP","2014","35-65 y.","college entrance qualification","93","0.0353741002241956","0.0284738133674299","0.0422743870809612"
"FDP","2014","35-65 y.","Other degree","14","","",""
"FDP","2014","35-65 y.","no degree/no degree yet","","","",""
"FDP","2014","66 and older","lower secondary degree","16","","",""
"FDP","2014","66 and older","secondary school degree","16","","",""
"FDP","2014","66 and older","college entrance qualification","47","0.0533419086970923","0.03657494603842","0.0701088713557646"
"FDP","2014","66 and older","Other degree","","","",""
"FDP","2014","66 and older","no degree/no degree yet","","","",""
"Grüne","2014","16-34 y.","lower secondary degree","13","","",""
"Grüne","2014","16-34 y.","secondary school degree","41","0.0963639674309436","0.0679731335353625","0.124754801326525"
"Grüne","2014","16-34 y.","college entrance qualification","238","0.251843018081951","0.224803943857417","0.278882092306485"
"Grüne","2014","16-34 y.","Other degree","18","","",""
"Grüne","2014","16-34 y.","no degree/no degree yet","33","0.1812306332096","0.121728607702201","0.240732658716999"
"Grüne","2014","35-65 y.","lower secondary degree","60","0.0565686209477707","0.0434375509038812","0.0696996909916602"
"Grüne","2014","35-65 y.","secondary school degree","251","0.111020408251454","0.0974869052434984","0.124553911259409"
"Grüne","2014","35-65 y.","college entrance qualification","827","0.306834920744917","0.289607680292609","0.324062161197225"
"Grüne","2014","35-65 y.","Other degree","69","0.13399012470781","0.107701609863406","0.160278639552215"
"Grüne","2014","35-65 y.","no degree/no degree yet","3","","",""
"Grüne","2014","66 and older","lower secondary degree","43","0.0310061851307547","0.0223686941970402","0.0396436760644693"
"Grüne","2014","66 and older","secondary school degree","39","0.0564826260393031","0.0389369680622906","0.0740282840163157"
"Grüne","2014","66 and older","college entrance qualification","66","0.0831216033371082","0.0625230665440776","0.103720140130139"
"Grüne","2014","66 and older","Other degree","9","","",""
"Grüne","2014","66 and older","no degree/no degree yet","2","","",""
"PDS/Linke","2014","16-34 y.","lower secondary degree","16","","",""
"PDS/Linke","2014","16-34 y.","secondary school degree","42","0.0752826105326307","0.0498976852038575","0.100667535861404"
"PDS/Linke","2014","16-34 y.","college entrance qualification","80","0.0793784780309485","0.0625392398705189","0.0962177161913781"
"PDS/Linke","2014","16-34 y.","Other degree","14","","",""
"PDS/Linke","2014","16-34 y.","no degree/no degree yet","15","","",""
"PDS/Linke","2014","35-65 y.","lower secondary degree","68","0.0548179635157662","0.0418796895797755","0.0677562374517568"
"PDS/Linke","2014","35-65 y.","secondary school degree","217","0.111736190156863","0.0981645970023713","0.125307783311354"
"PDS/Linke","2014","35-65 y.","college entrance qualification","183","0.0623018224680578","0.0532730876674663","0.0713305572686494"
"PDS/Linke","2014","35-65 y.","Other degree","66","0.0667356491728575","0.0474759492261178","0.0859953491195971"
"PDS/Linke","2014","35-65 y.","no degree/no degree yet","4","","",""
"PDS/Linke","2014","66 and older","lower secondary degree","110","0.0568919485085602","0.0453492044876279","0.0684346925294926"
"PDS/Linke","2014","66 and older","secondary school degree","56","0.058931367184516","0.0410326800922229","0.076830054276809"
"PDS/Linke","2014","66 and older","college entrance qualification","48","0.0599461893069614","0.0422336554580864","0.0776587231558365"
"PDS/Linke","2014","66 and older","Other degree","4","","",""
"PDS/Linke","2014","66 and older","no degree/no degree yet","1","","",""
"NPD Combination","2014","16-34 y.","lower secondary degree","16","","",""
"NPD Combination","2014","16-34 y.","secondary school degree","19","","",""
"NPD Combination","2014","16-34 y.","college entrance qualification","1","","",""
"NPD Combination","2014","16-34 y.","Other degree","","","",""
"NPD Combination","2014","16-34 y.","no degree/no degree yet","6","","",""
"NPD Combination","2014","35-65 y.","lower secondary degree","14","","",""
"NPD Combination","2014","35-65 y.","secondary school degree","28","","",""
"NPD Combination","2014","35-65 y.","college entrance qualification","2","","",""
"NPD Combination","2014","35-65 y.","Other degree","3","","",""
"NPD Combination","2014","35-65 y.","no degree/no degree yet","5","","",""
"NPD Combination","2014","66 and older","lower secondary degree","4","","",""
"NPD Combination","2014","66 and older","secondary school degree","","","",""
"NPD Combination","2014","66 and older","college entrance qualification","","","",""
"NPD Combination","2014","66 and older","Other degree","","","",""
"NPD Combination","2014","66 and older","no degree/no degree yet","","","",""
"AfD","2014","16-34 y.","lower secondary degree","7","","",""
"AfD","2014","16-34 y.","secondary school degree","14","","",""
"AfD","2014","16-34 y.","college entrance qualification","11","","",""
"AfD","2014","16-34 y.","Other degree","","","",""
"AfD","2014","16-34 y.","no degree/no degree yet","8","","",""
"AfD","2014","35-65 y.","lower secondary degree","35","0.0211942534609405","0.0130074478076792","0.0293810591142018"
"AfD","2014","35-65 y.","secondary school degree","50","0.0267115243764868","0.019765552103164","0.0336574966498096"
"AfD","2014","35-65 y.","college entrance qualification","41","0.0149710356236883","0.0104348020593525","0.0195072691880241"
"AfD","2014","35-65 y.","Other degree","8","","",""
"AfD","2014","35-65 y.","no degree/no degree yet","1","","",""
"AfD","2014","66 and older","lower secondary degree","15","","",""
"AfD","2014","66 and older","secondary school degree","9","","",""
"AfD","2014","66 and older","college entrance qualification","13","","",""
"AfD","2014","66 and older","Other degree","","","",""
"AfD","2014","66 and older","no degree/no degree yet","2","","",""
"Other","2014","16-34 y.","lower secondary degree","12","","",""
"Other","2014","16-34 y.","secondary school degree","18","","",""
"Other","2014","16-34 y.","college entrance qualification","31","0.0229440342215177","0.0136173965558573","0.0322706718871781"
"Other","2014","16-34 y.","Other degree","2","","",""
"Other","2014","16-34 y.","no degree/no degree yet","7","","",""
"Other","2014","35-65 y.","lower secondary degree","24","","",""
"Other","2014","35-65 y.","secondary school degree","37","0.0158539524115061","0.0104729712731479","0.0212349335498642"
"Other","2014","35-65 y.","college entrance qualification","39","0.0180837394487512","0.0131060668050292","0.0230614120924733"
"Other","2014","35-65 y.","Other degree","13","","",""
"Other","2014","35-65 y.","no degree/no degree yet","1","","",""
"Other","2014","66 and older","lower secondary degree","10","","",""
"Other","2014","66 and older","secondary school degree","2","","",""
