"party","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","2018","Employed","Male","331","0.085830785204843","0.076769480439243","0.094892089970443"
"PDS/Linke","2018","Employed","Female","316","0.0933516632847688","0.0834257246520361","0.103277601917502"
"NPD Combination","2018","Not Employed","Male","4","","",""
"NPD Combination","2018","Not Employed","Female","4","","",""
"NPD Combination","2018","Employed","Male","14","","",""
"NPD Combination","2018","Employed","Female","8","","",""
"AfD","2018","Not Employed","Male","112","0.0689178951892205","0.0580862342413438","0.0797495561370972"
"AfD","2018","Not Employed","Female","88","0.0340137053715353","0.0262517966275087","0.0417756141155618"
"AfD","2018","Employed","Male","359","0.104321136645313","0.0944329144499562","0.114209358840669"
"AfD","2018","Employed","Female","166","0.0514353692392791","0.0438991154450941","0.058971623033464"
"Other","2018","Not Employed","Male","19","","",""
"Other","2018","Not Employed","Female","20","","",""
"Other","2018","Employed","Male","75","0.0244157833294423","0.019423219653087","0.0294083470057977"
"Other","2018","Employed","Female","52","0.0113638446486656","0.00774748171231007","0.0149802075850212"
"CDU/CSU","2019","Not Employed","Male","666","0.379464524570242","0.356972257504314","0.401956791636169"
"CDU/CSU","2019","Not Employed","Female","752","0.410015713185531","0.388163413595847","0.431868012775216"
"CDU/CSU","2019","Employed","Male","1383","0.292854001175952","0.278946507808996","0.306761494542907"
"CDU/CSU","2019","Employed","Female","1000","0.269459853435631","0.254754707014693","0.28416499985657"
"SPD","2019","Not Employed","Male","458","0.276356960775879","0.255628754005756","0.297085167546003"
"SPD","2019","Not Employed","Female","449","0.251480693366583","0.232204090468225","0.270757296264941"
"SPD","2019","Employed","Male","693","0.187900118723252","0.175961969943138","0.199838267503366"
"SPD","2019","Employed","Female","530","0.176125550343396","0.16350024257613","0.188750858110663"
"FDP","2019","Not Employed","Male","109","0.0598675616637558","0.0488710576315572","0.0708640656959545"
"FDP","2019","Not Employed","Female","82","0.0408208974531405","0.0320292998597811","0.0496124950464999"
"FDP","2019","Employed","Male","341","0.0621976416955819","0.0548167071226598","0.0695785762685041"
"FDP","2019","Employed","Female","157","0.0388496412231092","0.0324450790307618","0.0452542034154566"
"Grüne","2019","Not Employed","Male","236","0.111881066060893","0.097270124752411","0.126492007369374"
"Grüne","2019","Not Employed","Female","388","0.179561795522314","0.162508568230522","0.196615022814106"
"Grüne","2019","Employed","Male","883","0.222400046869116","0.209690961809791","0.235109131928441"
"Grüne","2019","Employed","Female","1254","0.348687931719737","0.332893162098036","0.364482701341439"
"PDS/Linke","2019","Not Employed","Male","150","0.0820883114061625","0.0693648450745696","0.0948117777377553"
"PDS/Linke","2019","Not Employed","Female","154","0.0646867681290329","0.0537582081789481","0.0756153280791176"
"PDS/Linke","2019","Employed","Male","314","0.0845503883642822","0.0760479447198666","0.0930528320086978"
"PDS/Linke","2019","Employed","Female","302","0.090655862938569","0.0811396892859118","0.100172036591226"
"NPD Combination","2019","Not Employed","Male","3","","",""
"NPD Combination","2019","Not Employed","Female","4","","",""
"NPD Combination","2019","Employed","Male","18","","",""
"NPD Combination","2019","Employed","Female","5","","",""
"AfD","2019","Not Employed","Male","132","0.0722038712180569","0.0602069210945368","0.084200821341577"
"AfD","2019","Not Employed","Female","80","0.0389297731445936","0.0303357766693353","0.047523769619852"
"AfD","2019","Employed","Male","372","0.117820956996698","0.107968186256752","0.127673727736645"
"AfD","2019","Employed","Female","165","0.0523014909561569","0.0449225776436565","0.0596804042686573"
"Other","2019","Not Employed","Male","34","0.0169922849593219","0.0110017074973024","0.0229828624213414"
"Other","2019","Not Employed","Female","37","0.0134479911043412","0.0083304024809021","0.0185655797277803"
"Other","2019","Employed","Male","109","0.0277724631389644","0.0227506575627188","0.03279426871521"
"Other","2019","Employed","Female","84","0.0225095908291806","0.017593268739784","0.0274259129185772"
