"party","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1986","Bavaria","Urban Area","","","",""
"PDS/Linke","1986","Bavaria","Rural Area","","","",""
"PDS/Linke","1986","Berlin","Urban Area","","","",""
"PDS/Linke","1986","Berlin","Rural Area","","","",""
"PDS/Linke","1986","Brandenburg","Urban Area","","","",""
"PDS/Linke","1986","Brandenburg","Rural Area","","","",""
"PDS/Linke","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"PDS/Linke","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"PDS/Linke","1986","Saxony","Urban Area","","","",""
"PDS/Linke","1986","Saxony","Rural Area","","","",""
"PDS/Linke","1986","Saxony-Anhalt","Urban Area","","","",""
"PDS/Linke","1986","Saxony-Anhalt","Rural Area","","","",""
"PDS/Linke","1986","Thuringia","Urban Area","","","",""
"PDS/Linke","1986","Thuringia","Rural Area","","","",""
"NPD Combination","1986","Schleswig-Holstein","Urban Area","","","",""
"NPD Combination","1986","Schleswig-Holstein","Rural Area","","","",""
"NPD Combination","1986","Hamburg","Urban Area","","","",""
"NPD Combination","1986","Hamburg","Rural Area","","","",""
"NPD Combination","1986","Lower Saxony","Urban Area","","","",""
"NPD Combination","1986","Lower Saxony","Rural Area","","","",""
"NPD Combination","1986","Bremen","Urban Area","","","",""
"NPD Combination","1986","Bremen","Rural Area","","","",""
"NPD Combination","1986","North Rhine-Westphalia","Urban Area","","","",""
"NPD Combination","1986","North Rhine-Westphalia","Rural Area","","","",""
"NPD Combination","1986","Hesse","Urban Area","","","",""
"NPD Combination","1986","Hesse","Rural Area","","","",""
"NPD Combination","1986","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"NPD Combination","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"NPD Combination","1986","Baden-Württemberg","Urban Area","","","",""
"NPD Combination","1986","Baden-Württemberg","Rural Area","","","",""
"NPD Combination","1986","Bavaria","Urban Area","","","",""
"NPD Combination","1986","Bavaria","Rural Area","","","",""
"NPD Combination","1986","Berlin","Urban Area","","","",""
"NPD Combination","1986","Berlin","Rural Area","","","",""
"NPD Combination","1986","Brandenburg","Urban Area","","","",""
"NPD Combination","1986","Brandenburg","Rural Area","","","",""
"NPD Combination","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
